trajectory,model,loc,min,max,mean,median,std,rmse,sse
seq_02,FCNN,3,0.24336868217470276,11.980122175819059,3.088733703336975,2.529510771362654,1.9132958443234938,3.633314860844748,11550.854768280878
seq_02,GBR,mapping,0.04708818918163629,16.110354515348966,2.2184835961262146,1.6587001148007432,2.0404464325077547,3.014148488415049,12864.489012064048
seq_02,GBR,0,0.04708818918163629,29.64503737047635,3.077179740539482,2.247909349087403,3.1332565708328652,4.391620645530982,248735.82244019335
seq_02,GBR,1,0.8036991113493734,4.01081392644865,2.474667834312399,2.5906417276434732,0.7279489695540352,2.5795136348651466,3167.251922008675
seq_02,GBR,2,0.3107277035584656,31.907239288529844,4.842678551107965,2.9022782863134053,5.74588878020937,7.514437665181411,237273.38192721547
seq_02,GBR,3,0.5014517817914306,20.147096404208252,5.257652539478353,3.620193396826693,4.682933716528335,7.0407938770625185,43376.18111687092
seq_02,RFR,mapping,0.02673955204865516,50.010418425773985,1.7880878224726198,1.2896471091831474,2.166104373576909,2.8087837613643183,11171.200964835107
seq_02,RFR,0,0.021729711124603618,97.29222771869783,2.9836461418735283,1.6667859909295544,7.638588426127392,8.200620552353595,867325.5384911947
seq_02,RFR,1,0.6181104352240255,4.119333567989666,2.4473246428829376,2.5113689059380633,0.944193413965315,2.623146795480111,3275.3079766634855
seq_02,RFR,2,0.06251785352711858,98.8868374402619,6.472168414613996,2.1422093510272844,18.57807987745385,19.67318011710823,1626316.9348966074
seq_02,RFR,3,0.5481075085793568,23.421154658304488,4.287802211395828,2.8619974051926147,4.46591804776655,6.1910961721990665,33538.4628367407
seq_02,SVR,mapping,1.1857658246200886,18.814875182526148,11.496196001398678,12.925792708055447,5.061074270747853,12.560931306101505,223412.22531166679
seq_02,SVR,0,0.9663214662924509,19.255577003605396,11.288569949019141,12.012135707820613,4.6683101621755005,12.215765684727629,1924553.9385139886
seq_02,SVR,1,3.997306247675634,12.191388109832522,7.67183013562581,7.744573803327901,2.439380810007346,8.0503140538819,30848.39683027713
seq_02,SVR,2,2.684473587623397,19.10400984518181,12.803828928728791,13.725766028017553,4.115959546530575,13.449132248023604,760054.222860729
seq_02,SVR,3,1.2905166186128998,10.516347366057566,4.585910321710297,5.155565164006344,1.3639416849655117,4.784444628037365,20029.546598911147
seq_02,UMEYAMA,mapping,5.265219143357425,72.47167547340388,27.475578531963027,26.690626024793534,12.605228597824034,30.229111857106687,1293939.672395967
seq_02,UMEYAMA,0,6.112699079972913,71.7772235856403,25.000999953552228,26.646152473697164,9.137154808339076,26.61836953438494,9138009.384241026
seq_02,UMEYAMA,1,21.61935312349335,30.58288035762561,24.92423443361269,24.31332242625149,2.9041607451588445,25.09285977594834,299714.16718605335
seq_02,UMEYAMA,2,5.799202990828036,41.88392734465551,21.643758164242612,15.719189775621508,12.316988596326938,24.903021414163113,2605914.3182790284
seq_02,UMEYAMA,3,19.0685467222555,25.76051701532341,21.388986639270453,21.51178055816495,1.3619615286460256,21.432304791141842,401925.7275778514
seq_03,FCNN,mapping,0.04761618354568218,4.238723864910546,1.213588183039523,1.0383446424387954,0.7997947621615832,1.453433156218157,2532.8490595735348
seq_03,FCNN,0,0.01137579417907473,4.210179715051721,1.2257194792809312,1.058211069549651,0.7938769201082823,1.4603522883774753,19539.145122123387
seq_03,FCNN,1,0.2752431274140064,274.9352645054331,3.0895554227854793,2.916637163160078,10.173815344952837,10.63258535745944,81623.45113900317
seq_03,FCNN,2,0.2259493878461118,268.5953360072033,1.5456426928335285,1.3135044910836846,4.209969781199065,4.484735989165804,83810.2746711266
seq_03,GBR,mapping,1.4509754839391389,74.61650328351529,17.921752718108667,14.955384904846069,10.525309669975995,20.783920807632175,517933.6656013728
seq_03,GBR,0,0.7498213590227157,80.9605933808489,16.86016747998279,14.00351881229383,11.003660148721206,20.133201040113427,3713778.074122322
seq_03,GBR,1,0.49723758384074024,255.93365958626583,6.49790281863283,6.023472752247198,9.73023324377712,11.700435035446414,98841.92997350279
seq_03,GBR,2,3.134087166038933,249.42400135775847,14.395778704515036,12.632795057208483,11.306560386104936,18.30510180998746,1396264.8267257833
seq_03,RFR,mapping,0.00738189075341703,54.91684263357265,1.837742865018408,0.5559173619882021,4.411276571309867,4.7787717905873475,27381.155131989573
